file,class,method,variable,usage
C:\Users\Acer\Desktop\cloned\Mycat2\assistant\src\main\java\io\mycat\ui\chart\InstanceChart.java,io.mycat.ui.chart.InstanceChart,start/1[io.mycat.ui.chart.Stage],prt,1
C:\Users\Acer\Desktop\cloned\Mycat2\assistant\src\main\java\io\mycat\ui\chart\InstanceChart.java,io.mycat.ui.chart.InstanceChart,start/1[io.mycat.ui.chart.Stage],con,1
C:\Users\Acer\Desktop\cloned\Mycat2\assistant\src\main\java\io\mycat\ui\chart\InstanceChart.java,io.mycat.ui.chart.InstanceChart,start/1[io.mycat.ui.chart.Stage],mem,1
C:\Users\Acer\Desktop\cloned\Mycat2\assistant\src\main\java\io\mycat\ui\chart\InstanceChart.java,io.mycat.ui.chart.InstanceChart,start/1[io.mycat.ui.chart.Stage],name,1
C:\Users\Acer\Desktop\cloned\Mycat2\assistant\src\main\java\io\mycat\ui\chart\InstanceChart.java,io.mycat.ui.chart.InstanceChart,start/1[io.mycat.ui.chart.Stage],cpu,1
C:\Users\Acer\Desktop\cloned\Mycat2\assistant\src\main\java\io\mycat\ui\chart\InstanceChart.java,io.mycat.ui.chart.InstanceChart,start/1[io.mycat.ui.chart.Stage],lqps,1
C:\Users\Acer\Desktop\cloned\Mycat2\assistant\src\main\java\io\mycat\ui\chart\InstanceChart.java,io.mycat.ui.chart.InstanceChart,start/1[io.mycat.ui.chart.Stage],thread,1
C:\Users\Acer\Desktop\cloned\Mycat2\assistant\src\main\java\io\mycat\ui\chart\InstanceChart.java,io.mycat.ui.chart.InstanceChart,start/1[io.mycat.ui.chart.Stage],lrt,1
C:\Users\Acer\Desktop\cloned\Mycat2\datasource\src\main\java\io\mycat\datasource\jdbc\mongodb\MongoResultSet.java,io.mycat.datasource.jdbc.mongodb.MongoResultSet,getObject/1[int],isSum,1
C:\Users\Acer\Desktop\cloned\Mycat2\datasource\src\main\java\io\mycat\datasource\jdbc\mongodb\MongoResultSet.java,io.mycat.datasource.jdbc.mongodb.MongoResultSet,getObject/1[int],_cur,1
C:\Users\Acer\Desktop\cloned\Mycat2\datasource\src\main\java\io\mycat\datasource\jdbc\mongodb\MongoResultSet.java,io.mycat.datasource.jdbc.mongodb.MongoResultSet,"SetFieldType/1[java.util.HashMap<java.lang.String,java.lang.Integer>]",select,3
