file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\Acer\Desktop\cloned\Mycat2\mycat2\src\main\java\io\mycat\exporter\SqlStatCollector.java,io.mycat.exporter.SqlStatCollector,class,7,8,1,7,4,2,0,13,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,22,1,1,0,1,0,10,1,4,1,4,3,0,0,0,20,1,1
C:\Users\Acer\Desktop\cloned\Mycat2\hbt\src\main\java\org\apache\calcite\linq4j\EnumerableDefaults.java,org.apache.calcite.linq4j.EnumerableDefaults$Anonymous14,anonymous,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,122,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,0
C:\Users\Acer\Desktop\cloned\Mycat2\hbt\src\main\java\org\apache\calcite\linq4j\EnumerableDefaults.java,org.apache.calcite.linq4j.EnumerableDefaults$Anonymous12,anonymous,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,75,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,0
C:\Users\Acer\Desktop\cloned\Mycat2\executor\src\main\java\io\ordinate\engine\function\cast\CastSymbolToFloatFunctionFactory.java,io.ordinate.engine.function.cast.CastSymbolToFloatFunctionFactory$Func,innerclass,3,3,0,3,6,2,0,3,0,0.375,0.6666667,1.0,4,0,4,0,0,0,4,0,0,0,2,0,0,1,0,1,1,0,0,19,4,0,1,0,0,0,1,3,0,3,1,0,0,0,15,10,0
C:\Users\Acer\Desktop\cloned\Mycat2\hbt\src\main\java\io\mycat\calcite\physical\MycatCalc.java,io.mycat.calcite.physical.MycatCalc,class,33,38,5,33,18,2,0,66,0,0.5555556,0.5833333,0.5833333,9,1,8,0,1,0,9,0,0,0,2,1,0,2,0,0,2,0,6,117,8,0,4,0,2,10,2,57,0,49,2,0,0,1,90,1,1
C:\Users\Acer\Desktop\cloned\Mycat2\hbt\src\main\java\io\mycat\calcite\rewriter\MycatJoinClusteringRule.java,io.mycat.calcite.rewriter.MycatJoinClusteringRule,class,7,8,1,7,3,2,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0,0,3,4,0,4,1,0,1,0,19,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\hbt\src\main\java\io\mycat\hbt\ast\query\GroupBySchema.java,io.mycat.hbt.ast.query.GroupBySchema,class,6,12,6,6,3,3,0,1,1,0.5555556,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,17,1,0,0,0,0,0,0,3,0,3,0,0,0,0,15,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\common\src\main\java\io\mycat\MycatUser.java,io.mycat.MycatUser,class,5,6,1,5,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,6,0,0,0,0,6,0,0,0,16,0,0,0,0,0,0,0,6,0,6,0,0,0,0,14,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\common\src\main\java\io\mycat\util\ApplicationContext.java,io.mycat.util.ApplicationContext$OrderComparator,innerclass,3,3,0,3,8,1,0,7,1,0.33333334,0.33333334,0.33333334,3,0,2,0,1,0,3,0,0,0,1,0,0,1,0,0,1,0,3,34,2,0,3,0,2,1,2,10,0,6,2,0,0,0,23,9,0
C:\Users\Acer\Desktop\cloned\Mycat2\example\src\test\java\io\mycat\replica\MHATest.java,io.mycat.replica.MHATest$Anonymous6,anonymous,0,0,0,0,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,1,0,0,1,0,0,0,1,0,0,0,6,-1,0
C:\Users\Acer\Desktop\cloned\Mycat2\hbt\src\main\java\org\apache\calcite\linq4j\EnumerableDefaults.java,org.apache.calcite.linq4j.EnumerableDefaults$Anonymous21,anonymous,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
C:\Users\Acer\Desktop\cloned\Mycat2\example\src\test\java\io\mycat\replica\MHATest.java,io.mycat.replica.MHATest$Anonymous5,anonymous,2,2,0,2,2,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,3,12,0,0,0,0,0,0,1,1,0,1,1,0,0,0,11,-1,0
C:\Users\Acer\Desktop\cloned\Mycat2\example\src\test\java\io\mycat\replica\MHATest.java,io.mycat.replica.MHATest$Anonymous4,anonymous,0,0,0,0,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,1,0,1,0,0,0,0,4,-1,0
C:\Users\Acer\Desktop\cloned\Mycat2\example\src\test\java\io\mycat\replica\MHATest.java,io.mycat.replica.MHATest$Anonymous3,anonymous,0,0,0,0,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,1,0,1,0,0,0,0,4,-1,0
C:\Users\Acer\Desktop\cloned\Mycat2\example\src\test\java\io\mycat\replica\MHATest.java,io.mycat.replica.MHATest$Anonymous2,anonymous,0,0,0,0,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,1,0,1,0,0,0,0,4,-1,0
C:\Users\Acer\Desktop\cloned\Mycat2\hbt\src\main\java\org\apache\calcite\linq4j\EnumerableDefaults.java,org.apache.calcite.linq4j.EnumerableDefaults$Anonymous25,anonymous,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,0
